Development_Status,Countries,Mean CFR (%),SD CFR (%),Median CFR (%),Min CFR (%),Max CFR (%),Total Confirmed,Total Deaths,Overall CFR (%)
Developed,41,4.615,4.501,3.390,0.050,15.190,2597179,196039,7.548
Developing,146,2.571,2.966,2.030,0.000,28.560,13883306,457997,3.299
